id,url,user,count,title,imageurl
0,http://tagomoris.hatenablog.com/entry/2014/07/18/135932,junpei0029,503,DISられないUIを作るために最低限守るべき5つの鉄則 - たごもりすメモ,http://cdn-ak.b.st-hatena.com/entryimage/207152833-1405659603.jpg
1,http://www.lifehacker.jp/2014/07/140714book_to_read.html,junpei0029,413,「多読」か「精読」か：キャリア官僚が教える速読術 : ライフハッカー［日本版］,http://cdn-ak.b.st-hatena.com/entryimage/205353809-1405291670.jpg
2,http://matome.naver.jp/odai/2134283398860369101,junpei0029,2,【ゴルフ】プロのスイング 正面スロー動画まとめ - NAVER まとめ,http://cdn-ak.b.st-hatena.com/entryimage/103605170-1343383541.jpg
3,http://www.danshihack.com/2014/07/13/junp/tabearuki-yakiniku.html,junpei0029,300,食べ歩きの達人が選ぶ「東京の焼肉」10選 | 男子ハック,http://cdn-ak.b.st-hatena.com/entryimage/205089453-1405242347.jpg
4,http://plus.appgiga.jp/masatolan/2014/07/10/52941/,junpei0029,910,Webアプリの開発でありがちな問題を「一発解消」するWebサービス10選が便利過ぎる！ | APPGIGA!!（アプギガ）,http://cdn-ak.b.st-hatena.com/entryimage/203459941-1405041972.jpg
5,http://webya.opdsgn.com/material/simpleicons2014/,junpei0029,177,もうシンプルアイコン探しには困りたくない！フリーのシンプルアイコンを厳選26選！ | バンクーバーのうぇぶ屋,http://cdn-ak.b.st-hatena.com/entryimage/203224717-1404875191.jpg
6,http://www.nxworld.net/material/high-quality-ui-kits-201407.html,junpei0029,376,最近気になったハイクオリティなUIキット #5 | NxWorld,http://cdn-ak.b.st-hatena.com/entryimage/202972742-1404724126.jpg
7,http://blog.yoslab.com/entry/2014/07/04/072734,junpei0029,48,書評 - 実践 機械学習 レコメンデーションにおけるイノベーション - よしだのブログ,http://cdn-ak.b.st-hatena.com/entryimage/202779762-1404601333.jpg
8,http://www.ideaxidea.com/archives/2014/06/api_io.html,junpei0029,119,128種類のAPIから横断的に検索できる『APIs.io』 | IDEA*IDEA,http://cdn-ak.b.st-hatena.com/entryimage/201938818-1404111033.jpg
9,http://postd.cc/10-articles-every-programmer-must-read/,junpei0029,1367,すべてのプログラマが読むべき記事10選 | POSTD,http://cdn-ak.b.st-hatena.com/entryimage/201533122-1403861137.jpg
10,http://growthhack.sirok.co.jp/growthhacks/statistics/,junpei0029,1249,今から統計学を学ぶならコレ！間違い無しの超良質記事まとめ10選。 | SIROKグロースハックブログ,http://cdn-ak.b.st-hatena.com/entryimage/201311746-1403744376.jpg
11,http://dsksyoya-blog.com/website-557,junpei0029,58,人探し・出欠管理・余興など、同窓会で使えるサイト10選！ | 笑屋の同窓会 blog,http://cdn-ak.b.st-hatena.com/entryimage/200904186-1403510093.jpg
12,http://ushigyu.net/2014/06/19/mac-app-2014-indispensable/,junpei0029,198,Macユーザーならこれ入れとくといいよ！なアプリ（必須アプリ9選 編）,http://cdn-ak.b.st-hatena.com/entryimage/200282406-1403139604.jpg
13,http://syncer.jp/hatebu-api-matome,junpei0029,1082,はてブAPIでwebサービスを作りたい全ての人に向けて書きました,http://cdn-ak.b.st-hatena.com/entryimage/200268150-1403131582.jpg
14,http://www.publickey1.jp/blog/14/githubpull_requestgithub_kaigi_2014.html,junpei0029,306,GitHub実践入門、Pull Requestによる開発の変革。GitHub Kaigi 2014 － Publickey,http://cdn-ak.b.st-hatena.com/entryimage/200095290-1403032258.jpg
